sku,nombre,categoria,precio,stock,stock_minimo
SKU001,Laptop HP,Electronica,15000.00,5,10
SKU002,Mouse Logitech,Accesorios,350.00,3,15
SKU003,Teclado Mecanico,Accesorios,N/A,20,10
SKU004,Monitor LG,Electronica,6000.00,abc,5
SKU005,Audifonos Sony,Accesorios,1200.00,2,???
SKU006,Webcam HD,Accesorios
SKU007,SSD 1TB,Almacenamiento,1800.00,0,5,dato_extra,otro
SKU008,Monitor Curvo,Electronica,8000.00,12,???
SKU009,Audifonos BT,Audio,600.00,5,sin_dato
SKU010,Impresora,Impresion
SKU011,Bocina,Audio,500.00,8
SKU012,Teclado Gaming,Accesorios,1200.00,muchos,15
SKU013,Cable HDMI,Cables,N/A,12,5
SKU014,Router WiFi,Redes,pendiente,8,10
SKU015,Mousepad,Accesorios,00,30,20
